Organisation Name,Address 1,Address 2,Address 3,Address 4,City,County,Post Code,Country,Website,Constitution,Sector,Type
"Judge's Lodging, Presteigne",Shire Hall,Broad Street,,,Presteigne,,LD8 2AD,Wales,www.judgeslodging.org.uk,Charity & Trusts,Museum,Independent
Royal Norfolk Regimental Museum,Shirehall,Market Avenue,,,Norwich,Norfolk,NR1 3JQ,England,,Charity & Trusts,Museum,Independent
Shropshire Regimental Museum,Shrewsbury Castle,Castle Gates,,,Shrewsbury,Shropshire,SY1 2AT,England,www.shropshireregiments.org.uk,Charity & Trusts,Museum,Independent
Shugborough Hall,Shugborough,Milford,,,Nr Stafford,Staffordshire,ST17 0XB,UK,www.shugborough.org.uk,Charity & Trusts,Museum,Independent
Museum of Classical Archaeology,Sidgwick Avenue,,,,Cambridge,Cambridgeshire,CB3 9DA,England,,University,Museum,Independent
Weald & Downland Open Air Museum,Singleton,,,,Chichester,West Sussex,PO18 0EU,England,http://www.wealddown.co.uk/,Charity & Trusts,Museum,Independent
"University of London, Percival David Foundation of Chinese Art",Sir Joseph Hotung Centre for Ceramic Studies,British Museum,Great Russell Street,,London,Greater London,WC1B 3DG,England,,University,Museum,Independent
Manchester United Museum & Tour Centre,Sir Matt Busby Way,Old Trafford,,,Manchester,Greater Manchester,M16 0RA,England,,Private Organisation,Museum,Independent
National Football Museum,Sir Tom Finney Way,,,,Preston,Lancashire,PR1 6RU,England,,Charity & Trusts,Museum,Independent
"National Trust, Sissinghurst",Sissinghurst,,,,Nr Cranbrook,Kent,TN17 2AB,,http://www.nationaltrust.org.uk/main/w-vh/w-visits/w-findaplace/w-sissinghurstcastlegarden/,Charity & Trusts,Museum,Independent
Tattershall Castle,Sleaford Road,Tattershall,,,Lincoln,Lincolnshire,LN4 4LR,,,Charity & Trusts,Museum,Independent
"National Trust, Smallhythe Place",Smallhythe,,,,Tenterden,Kent,TN30 7NG,England,http://www.nationaltrust.org.uk/main/w-smallhytheplace,Charity & Trusts,Museum,Independent
Haig Colliery Mining Museum,Solway Road,Kells,,,Whitehaven,Cumbria,CA28 9BG,England,,Charity & Trusts,Museum,Independent
"National Trust, Uppark",South Harting,,,,Petersfield,West Sussex,GU31 5QR,,http://www.nationaltrust.org.uk/main/w-uppark,Charity & Trusts,Museum,Independent
Boat Museum,South Pier Road,,,,Ellesmere Port,Cheshire,L65 4FW,England,http://www.thewaterwaystrust.org.uk/museums/ellesmere.shtml,Charity & Trusts,Museum,Independent
Bishop's Stortford Museum,South Road,,,,Bishops Stortford,Hertfordshire,CM23 3JG,England,www.rhodesbishopsstortford.org.uk,Charity & Trusts,Museum,Independent
Rhodes/Bishop Stortford Museum,South Road,,,,Bishops Stortford,Hertfordshire,CM23 3JG,England,,Charity & Trusts,Museum,Independent
Baltic - The Centre for Contemporary Art,South Shore Road,,,,Gateshead,Tyne & Wear,NE8 3BA,England,www.balticmill.com,Charity & Trusts,Museum,Independent
Stained Glass Museum,South Triforium,Ely Cathedral,,,Ely,Cambridgeshire,CB7 4DL,England,,Charity & Trusts,Museum,Independent
Southend Pier Museum,Southend Pier,Western Esplanade,,,Southend-on-Sea,Essex,SS2 6ER,England,,Charity & Trusts,Museum,Independent
Mangapps Farm Railway Museum,Southminster Road,,,,Burnham-on-Crouch,Essex,CM0 8QQ,England,,Charity & Trusts,Museum,Independent
Dalbeattie Museum,Southwick Road,,,,Dalbeattie,,DG5 8BS,Scotland,,Charity & Trusts,Museum,Independent
Tynemouth Volunteer Life Brigade,Spanish Battery,Tynemouth,,,North Shields,Tyne & Wear,NE30 4DD,England,www.tvlb.org,Charity & Trusts,Museum,Independent
Royal Air Force Manson Spitfire & Hurricane Museum Trust,Spitfire & Hurricane Memorial Building,The Airfield,Manston Road,,Ramsgate,Kent,CT12 5DF,England,http://www.spifirememorial.org.uk/,Charity & Trusts,Museum,Independent
Coventry Transport Museum,St Agnes Lane,Hales Street,,,Coventry,West Midlands,CV1 1PN,England,www.transport-museum.com,Charity & Trusts,Museum,Independent
Quilt Museum & Gallery,St Anthony's Hall,Peasholme Greet,,,York,Yorkshire,YO1 7PW,England,www.quiltmuseum.org.uk,Charity & Trusts,Museum,Independent
Elizabeth Castle,St Aubinâ€™s Bay,St Helier,,,Jersey,,JE3 3NU,England,http://www.jerseyheritage.org/places-to-visit/elizabeth-castle,Charity & Trusts,Museum,Independent
"National Trust, Cotehele House",St Dominick,,,,Saltash,Cornwall,PL12 6TA,England,http://www.nationaltrust.org.uk/main/w-cotehele,Charity & Trusts,Museum,Independent
Langton Matravers Museum,St George's Close,Langton Matravers,,,Swanage,Dorset,BH19 3HE,England,http://www.dorsetforyou.com/index.jsp?articleid=323091,Charity & Trusts,Museum,Independent
Dunwich Museum,St James' Street,,,,Dunwich,Somerset,IP17 3EA,England,,Charity & Trusts,Museum,Independent
Museum of the Order of St John,St John's Gate,St John's Lane,Islington,,London,,EC1M 4DA,England,,Charity & Trusts,Museum,Independent
Royal Regiment of Fusiliers Museum: Royal Warwickshire,St John's House,,,,Warwick,Warwickshire,CV34 4NF,England,www.warwickfusiliers.co.uk,Charity & Trusts,Museum,Independent
Durham Heritage Centre and Museum,St Mary-le-Bow,North Bailey,,,Durham,Durham,DH1 3ET,England,www.durhamheritagecentre.org.uk,Charity & Trusts,Museum,Independent
Chesterfield Museum and Art Gallery,St Mary's Gate,,,,Chesterfield,Derbyshire,S41 7TD,England,www.chesterfield.gov.uk,Charity & Trusts,Museum,Independent
York Museums Trust,St Mary's Lodge,Marygate,,,York,Yorkshire,YO30 7DR,,http://www.yorkmuseumstrust.org.uk/Page/Index.aspx,Charity & Trusts,Museum,Independent
Kingsbury Water Mill Museum,St Michaels Village,,,,St Albans,Hertfordshire,AL3 4SJ,England,,Charity & Trusts,Museum,Independent
St Osyth Historical Society Museum,St Osyth,96 Colchester Road,,,Clacton on Sea,Essex,CO16 8RX,England,,Charity & Trusts,Museum,Independent
Kent Masonic Library & Museum,St Peter's Place,,,,Canterbury,Kent,CT1 2DA,England,,Charity & Trusts,Museum,Independent
"University of Leeds, International Textiles Archive",St Wilfred's Chapel,Maurice Keyworth Building,Moorland Road,,Leeds,Yorkshire,LS2 9JT,England,http://ulita.leeds.ac.uk/wiki/mediawiki-1.10.1/index.php/Main_Page,University,Museum,Independent
448th Bomber Group Memorial Museum,Station 146 Tower Association,62 Tower Road,,,Norwich,Norfolk,NR2 4HB,England,,Charity & Trusts,Museum,Independent
Kidderminster Railway Museum,Station Approach,Comberton Hill,,,Kidderminster,Worcestershire,DY10 1QX,England,www.krm.org.uk,Charity & Trusts,Museum,Independent
Mountain Heritage Trust,Station House,Ullswater Road,,,Penrith,Cumbria,CA11 7JQ,England,,Charity & Trusts,Museum,Independent
Combined Military Services Museum,Station Road,,,,Maldon,Essex,CM9 4LQ,England,,Charity & Trusts,Museum,Independent
Mallaig Heritage Centre,Station Road,Mallaig,,,Inverness-shire,,PH41 4PY,Scotland,www.mallaigheritage.org.uk,Charity & Trusts,Museum,Independent
Mary Arden's House and Shakespeare's Countryside Museum,Station Road,Wilmcote,,,Stratford-upon-Avon,Warwickshire,CV37 9UN,UK,www.shakespeare.org.uk,Charity & Trusts,Museum,Independent
"National Trust, Cherryburn",Station Road,Mickley,,,Stocksfield,Northumberland,NE43 7DD,England,www.nationaltrust.org.uk/main/w-cherryburn,Charity & Trusts,Museum,Independent
Tenterden & District Museum,Station Road,,,,Tenterden,Kent,TN30 6HN,England,http://www.ukpages.net/kent/museum.htm,Charity & Trusts,Museum,Independent
Dales Countryside Museum,Station Yard,,,,Hawes,Yorkshire,DL8 3NT,England,http://www.yorkshiredales.org.uk/dales_countryside_museum,Charity & Trusts,Museum,Independent
Museum of Power,Steam Pumping Station,Hatfield Road,,,Chelmsford,Essex,CM9 6QA,England,,Charity & Trusts,Museum,Independent
"National Trust, Finch Foundry",Sticklepath,,,,Okehampton,Devon,EX20 2NW,England,,Charity & Trusts,Museum,Independent
Canal Museum,Stoke Bruerne,,Nr Towcester,,Northampton,Northamptonshire,NN12 7SE,UK,,Charity & Trusts,Museum,Independent
Avoncroft Museum of Historic Buildings,Stoke Heath,,,,Bromsgrove,Worcestershire,B60 4JR,England,www.avoncroft.org.uk,Charity & Trusts,Museum,Independent
Stourhead,Stourhead Estate Office,Stourton,,,Warminster,Wiltshire,BA12 6QD,England,http://www.nationaltrust.org.uk/main/w-stourhead,Charity & Trusts,Museum,Independent
Victoria Bath Trust,Studio 20,Longsight Business Park,,,Manchester,Greater Manchester,M13 0PD,England,,Charity & Trusts,Museum,Independent
"National Trust, Museum of Childhood",Sudbury Hall,Sudbury,,,Ashbourne,Derbyshire,DE6 5HT,England,,Charity & Trusts,Museum,Independent
Elstree & Borehamwood Museum,"Suite 17, Eastgate Business Cen",Southernhay,,,Basildon,Essex,SS14 1EB,England,,Charity & Trusts,Museum,Independent
A La Ronde,Summer Lane,,,,Exmouth,Devon,EX8 5BD,England,www.nationaltrust.org.uk,Charity & Trusts,Museum,Independent
Crafts Study Centre,Surrey Institute of Art & Design,Farnham Campus,Falkner Road,,Farnham,Surrey,GU9 7DS,England,http://www.csc.ucreative.ac.uk/,Charity & Trusts,Museum,Independent
Graves Gallery,Surrey Street,,,,Sheffield,Yorkshire,S1 1XZ,,http://www.museums-sheffield.org.uk,Charity & Trusts,Museum,Independent
Woodchurch Museum,Susans Hill,Woodchurch,,,Ashford,Kent,TN26 3RE,England,www.woodchurchmuseum.com/,Charity & Trusts,Museum,Independent
Mercer Art Gallery,Swan Road,,,,Harrogate,Yorkshire,HG1 2SA,England,http://www.harrogate.gov.uk/harrogate-995,Charity & Trusts,Museum,Independent
Ashwell Village Museum,Swan Street,Ashwell,,,Baldock,Hertfordshire,SG7 5NY,England,,Charity & Trusts,Museum,Independent
Tangmere Military Aviation Museum Trust,Tangmere,,,,Chichester,West Sussex,PO20 6ES,England,,Charity & Trusts,Museum,Independent
Tate Britain,Tate Library,Millbank,,,London,,SW1P 4RG,England,http://www.tate.org.uk/britain/,Charity & Trusts,Museum,Independent
"National Trust, Tatton Park",Tatton Park,,,,Knutsford,,WA16 6QN,England,www.nationaltrust.org.uk,Charity & Trusts,Museum,Independent
Dimbola Lodge Museum,Terrace Lane,Freshwater Bay,,,Isle of  Wight,Hampshire,PO40 9QE,England,,Charity & Trusts,Museum,Independent
Newark Air Museum,The Airfield,Winthorpe Showground,,,Newark,Nottinghamshire,NG24 2NY,England,www.newarkairmuseum.co.uk,Charity & Trusts,Museum,Independent
Battle Museum of Local History,The Almonry,High Street,,,Battle,East Sussex,TN33 0HS,England,,Charity & Trusts,Museum,Independent
Staffordshire Yeomanry Museum,The Ancient High House,Greengate Street,,,Stafford,Staffordshire,ST16 2HS,England,,Charity & Trusts,Museum,Independent
"University of Newcastle, Shefton Museum of Greek Art & Archaeology",The Armstrong Building,,,,Newcastle upon Tyne,Tyne & Wear,NE1 7RU,England,,University,Museum,Independent
Braunton and District Museum,The Bakehouse Centre,Caen Street,,,Braunton,Devon,EX33 1AA,England,www.devonmuseums.net/braunton,Charity & Trusts,Museum,Independent
The Regimental Museum of the Royal Welsh (Brecon),The Barracks,Watton,,Brecon,Powys,,LD3 7EB,Wales,www.rrw.org.uk/,Charity & Trusts,Museum,Independent
Senhouse Museum Trust,The Battery,Sea Brows,,,Maryport,Cumbria,CA15 6JD,England,,Charity & Trusts,Museum,Independent
Senhouse Roman Museum,The Battery,Sea Brows,,,Maryport,Cumbria,CA15 6JD,England,,Charity & Trusts,Museum,Independent
Bethlem Royal Hospital Archives & Museum,The Bethlem Royal Hospital,Monks Orchard Road,,,Bromley,Kent,BR3 3BX,England,,Charity & Trusts,Museum,Independent
Bridgnorth Northgate Museum,The Burgess Hall,Northgate,High Street,,Bridgnorth,Shropshire,WV16 4AH,England,www.bridgnorthmuseum.org.uk,Charity & Trusts,Museum,Independent
Dartmouth Museum,The Butterwalk,6 Duke Street,,,Dartmouth,Devon,TQ6 9PZ,England,www.devonmuseums.net/dartmouth,Charity & Trusts,Museum,Independent
Manchester Cathedral,The Cathedral,,,,Manchester,Greater Manchester,M3 1SX,England,,Charity & Trusts,Museum,Independent
Jenner Museum,The Chantry,Church Lane,,,Berkeley,Gloucestershire,GL13 9BH,England,,Charity & Trusts,Museum,Independent
George Marshall Medical Museum,The Charles Hastings Education Centre,Worcestershire Royal Hospital,Charles Hastings Way,,Worcester,Worcestershire,WR5 1DD,England,www.medicalmuseum.org.uk,Charity & Trusts,Museum,Independent
Wotton-Under-Edge Heritage Centre,The Chipping,,,,Wotton-Under-Edge,Gloucestershire,GL12 7AD,England,www.wottonheritage.com,Charity & Trusts,Museum,Independent
Ashford Museum,The Churchyard,,,,Ashford,Kent,TN23 1QL,England,www.ashfordmuseum.co.uk/,Charity & Trusts,Museum,Independent
Museum of Leathercraft,The Cottage,Stoney Lane,Earl's Common,,Himbleton,Worcestershire,WR9 7LD,England,www.museumofleathercraft.org,Charity & Trusts,Museum,Independent
Wandsworth Museum,The Courthouse,11 Garratt Lane,Wandsworth,,London,,SW18 4AQ,England,,Charity & Trusts,Museum,Independent
Robert Owen Memorial Museum,The Cross,Broad Street,,,Newtown,,SY16 2BB,Wales,robert-owen-museum.org.uk,Charity & Trusts,Museum,Independent
The Raven Mason Collection,The Darwin Building,Keele University,,,Newcastle under Lyme,Staffordshire,ST8 5BG,England,http://www.keele.ac.uk/marketing/RavenMason/,University,Museum,Independent
Knebworth House,The Estate Office,Knebworth House,,,Knebworth,Hertfordshire,SG3 6PY,England,,Charity & Trusts,Museum,Independent
Hooton Park Airfield Trust,The Hangars,South Road,,,Ellesmere Port,Cheshire,CH65 1BQ,England,,Charity & Trusts,Museum,Independent
Crewkerne and District Museum,The Heritage Centre,Market Square,,,Crewkerne,Somerset,TA18 7JU,England,www.communigate.co.uk/twc/crewkerneheritagecentre/index.phtml,Charity & Trusts,Museum,Independent
Macclesfield Silk Museum,The Heritage Centre,Roe Street,,,Macclesfield,Cheshire,SK11 6UT,England,,Charity & Trusts,Museum,Independent
Kent Police Museum,The Historic Dockyard,Dock Road,,,Chatham,Kent,ME4 4TZ,England,www.lent-police-museum.co.uk,Charity & Trusts,Museum,Independent
"National Trust, North West Region",The Hollens,,,,Ambleside,Cumbria,LA22 9QZ,England,www.nationaltrust.org.uk,Charity & Trusts,Museum,Independent
Lace Guild,The Hollies,53 Audnam,,,Dudley,West Midlands,DY8 4AE,England,www.laceguild.demon.co.uk,Charity & Trusts,Museum,Independent
Stanley Spencer Gallery,The Kings Hall,High Street,Cookham,,Windsor & Maidenhead,Berkshire,SL6 9SJ,England,http://stanleyspencer.org.uk/,Charity & Trusts,Museum,Independent
Salisbury & South Wiltshire Museum,The King's House,65 The Close,,,Salisbury,Wiltshire,SP1 2EN,England,www.salisburymuseum.org.uk,Charity & Trusts,Museum,Independent
Dawlish Museum,The Knowle,Barton Terrace,,,Dawlish,Devon,EX7 9QH,England,www.devonmuseumnet/dawlish,Charity & Trusts,Museum,Independent
Purton Museum,The Library,1 High Street,,,Purton,Wiltshire,SN5 4AA,England,http://www.purtonmuseum.com/,Charity & Trusts,Museum,Independent
Radstock Museum,The Market Hall,Waterloo Road,,,Radstock,Somerset,BA3 3ER,England,http://www.radstockmuseum.co.uk/,Charity & Trusts,Museum,Independent
Castle Cary & District Museum,The Market House,,,,Castle Cary,Somerset,BA7 7AH,England,http://www.castlecarymuseum.org.uk/,Charity & Trusts,Museum,Independent
Worcestershire Museum of Freemasonry,The Masonic Hall,Rainbow Hill,,,Worcester,Worcestershire,WR3 8LY,England,worcestermasonicmuseum.co.uk,Charity & Trusts,Museum,Independent
Dacorum Heritage Trust,The Museum Store,Clarence Road,,,Berkhamsted,Hertfordshire,HP4 3YL,England,,Charity & Trusts,Museum,Independent
True's Yard Fishing Museum,The North End Trust,True's Yard Fishing Museum,,,King's Lynn,Norfolk,PE30 1QW,England,,Charity & Trusts,Museum,Independent
Salcombe Maritime and Local History Museum,The Old Council Hall,Market Street,,,Salcombe,Devon,TQ8 8DE,,"http://www.devonmuseums.net/component/option,com_mumancontent/task,view/sectionid,21/",Charity & Trusts,Museum,Independent
Farmland Museum/St Neots Museum Trust,The Old Court,8 New Street,,,St Neots,Cambridgeshire,PE19 1AE,England,,Charity & Trusts,Museum,Independent
St Neots Museum,The Old Court,8 New Street,,,St Neots,Cambridgeshire,PE19 1AE,England,,Charity & Trusts,Museum,Independent
St Neots Museum Trust,The Old Court,8 New Street,,,St Neots,Cambridgeshire,PE19 1AE,England,,Charity & Trusts,Museum,Independent
Petersfield Museum,The Old Courthouse,,,,Petersfield,Hampshire,GU32 3HX,England,http://www.petersfieldmuseum.hampshire.org.uk/,Charity & Trusts,Museum,Independent
Feltwell Village Museum,The Old Forge,"Junction of the Beck, Lodge Rd",,,Feltwell,Norfolk,IP26 4DB,England,,Charity & Trusts,Museum,Independent
Dorking Museum & Heritage Centre,The Old Foundry,62a West Street,,,Dorking,Surrey,RH4 1BS,England,,Charity & Trusts,Museum,Independent
Ely Museum,The Old Gaol,Market Street,,,Ely,Cambridgeshire,CB7 4LS,England,,Charity & Trusts,Museum,Independent
Cookworthy Museum of Rural Life,The Old Grammar School,108 Fore Street,,,Kingsbridge,Devon,TQ7 1AW,England,www.cookworthy@devonmuseums.net,Charity & Trusts,Museum,Independent
Old Guildhall Museum,The Old Guildhall,Fore Street,,,East Looe,Cornwall,PL13 1AA,England,,Charity & Trusts,Museum,Independent
The Cardiff Story Museum,The Old Library,The Hayes,,,Cardiff,,CF10 1BH,Wales,www.cardiffstory.com,Charity & Trusts,Museum,Independent
Wells Maritime Museum,The Old Lifeboat House,West Quay,,,Wells-next-the-Sea,Norfolk,NR23 1EP,England,,Charity & Trusts,Museum,Independent
Brixham Heritage Museum,The Old Police Station,Bolton Cross,,,Brixham,Devon,TQ5 8LZ,England,www.brixhamheritage.org.uk,Charity & Trusts,Museum,Independent
Royal Wiltshire Yeomanry Historic Property Collection,The Old Rectory,Alton Barnes,,,Marlborough,Wiltshire,SN8 4LB,England,,Charity & Trusts,Museum,Independent
Mere Museum,The Old Rectory Cottage,Church Street,,,Mere,Wiltshire,BA12 6DS,England,http://www.meremuseum.org.uk/,Charity & Trusts,Museum,Independent
West Somerset Rural Life Museum,The Old School,Allerford,,,Minehead,Somerset,TA24 8HN,England,http://www.hornermill.co.uk/allerfordmuseum/index.html,Charity & Trusts,Museum,Independent
Ashburton Museum,The Old Town Hall,North Street,,,Ashburton,Devon,TA13 7QG,England,,Charity & Trusts,Museum,Independent
The Stewart Museum,The Old Vicarage,Allerthorpe,,,York,,YO42 4RW,,,Charity & Trusts,Museum,Independent
Earls Colne Heritage,The Old Water Tower,Reuben Walk,Earls Colne,,Colchester,Essex,CO6 2TB,England,,Charity & Trusts,Museum,Independent
Peak District Mining Museum,The Pavilion,Matlock Bath,,,Matlock,Derbyshire,DE4 3NR,England,www.peakmines.co.uk/,Charity & Trusts,Museum,Independent
Printing House Trust,The Printing House,102 Main Street,,,Cockermouth,Cumbria,CA13 9LX,England,,Charity & Trusts,Museum,Independent
People's History Museum,The Pump House,Bridge Street,,,Manchester,Greater Manchester,M3 3ER,England,http://www.phm.org.uk/,Charity & Trusts,Museum,Independent
Burnham-on-Crouch & District Museum,The Quay,,,,Burnham-on-Crouch,Essex,CM0 8AS,England,,Charity & Trusts,Museum,Independent
Classic Boat Museum,The Quay,Newport Harbour,,,Isle of  Wight,Hampshire,PO30 2EF,England,,Charity & Trusts,Museum,Independent
Halesworth & District Museum,The Railway Station,Station Road,,,Halesworth,Suffolk,IP19 8BZ,England,,Charity & Trusts,Museum,Independent
Museum of Rail Travel,The Railway Station,Haworth,,,Keighley,Yorkshire,BD22 8NJ,England,http://www.vintagecarriagestrust.org/,Charity & Trusts,Museum,Independent
"Railway Museum, Ravenglass",The Ravenglass & Eskdale Railway,,,,Ravenglass,Cumbria,CA18 1SW,England,,Charity & Trusts,Museum,Independent
Glenesk Folk Museum,The Retreat,Glenesk,Brechin,,Angus,,DD9 7YT,Scotland,www.gleneskretreat.btik.com,Charity & Trusts,Museum,Independent
Ickworth House,The Rotunda,Horringer,,,Bury St Edmunds,Suffolk,IP29 5QE,England,,Charity & Trusts,Museum,Independent
Michael Faraday's Museum,The Royal Institution of Great Britain,21 Albermarle Street,,,London,,W1S 4BS,England,,Charity & Trusts,Museum,Independent
Shakespeare Birthplace Trust,The Shakespeare Centre,Henley Street,,,Stratford-upon-Avon,Warwickshire,CV37 6QW,England,www.shakespeare.org.uk,Charity & Trusts,Museum,Independent
The Fisherman's Heritage Centre,The Slipway,West Cliff,,,Sheringham,Norfolk,NR26 8JT,England,,Charity & Trusts,Museum,Independent
Waterways Museum,The Sobriety Project,Dutch River Side,,,Goole,Yorkshire,DN14 5TB,England,http://www.waterwaysmuseum.org.uk/,Charity & Trusts,Museum,Independent
Arlington Court Carriage Museum,The Stables,Arlington Court,,,Barnstaple,Devon,EX31 4LP,England,http://www.nationaltrust.org.uk/main/w-arlingtoncourt,Charity & Trusts,Museum,Independent
Middleton Railway Museum,The Station,Moor Road,,,Leeds,Yorkshire,LS10 2JA,,http://www.middletonrailway.org.uk/,Charity & Trusts,Museum,Independent
"Jewish Museum, Finchley",The Sternberg Centre,80 East End Road,Finchley,,London,Greater London,N3 2SY,UK,,Charity & Trusts,Museum,Independent
9th/12th Royal Lancers Prince of Wales Regimental Museum,The Strand,,,,Derby,Derbyshire,DE1 1BS,England,www.derby.gov.uk/LeisureCulture/MuseumsGalleries/9th12thLancersMuseum.htm,Charity & Trusts,Museum,Independent
Agricultural Museum,The Street,Brook,,,Ashford,Kent,TN25 5PF,England,www.agriculturalmuseumbrook.org.uk/,Charity & Trusts,Museum,Independent
Thorney Heritage Centre,The Tankyard,Station Road,,,Peterborough,Cambridgeshire,PE6 0QE,England,,Charity & Trusts,Museum,Independent
Sudbury Museum Trust,The Town Hall,Hedingham Road,,,Sudbury,Suffolk,CO10 7EF,England,,Charity & Trusts,Museum,Independent
Thornbury & District Museum,The Town Hall,4 Chapel Street,,,Thornbury,Gloucestershire,BS35 2AR,England,http://www.thornburymuseum.org.uk/,Charity & Trusts,Museum,Independent
"University of Birmingham, Barber Institute of Fine Arts",The University of Birmingham,Edgbaston,,,Birmingham,West Midlands,B15 2TS,England,www.barber.org.uk,University,Museum,Independent
Hunterian Museum,The University of Glasgow,,,,Glasgow,,G12 8QQ,Scotland,,University,Museum,Independent
Wandle Industrial Museum,The Vestry Hall Annexe,London Road,Merton,,London,,CR4 3UD,England,,Charity & Trusts,Museum,Independent
"Violanda Trust, Chesterholm Museum",The Vindolanda Trust,Bardon Mill,,,Hexham,Northumberland,NE47 7JN,England,,Charity & Trusts,Museum,Independent
The Rifles (Berkshire and Wiltshire) Museum,The Wardrobe,58 The Close,,,Salisbury,Wiltshire,SP1 2EX,England,www.thewardrobe.org.uk,Charity & Trusts,Museum,Independent
Fife Folk Museum Trust,The Weigh House,High Street,Ceres,,Cupar,,KY15 5NF,Scotland,,Charity & Trusts,Museum,Independent
Jersey Museum,The Weighbridge,,,,Jersey,,JE2 3NF,Channel Islands,,Charity & Trusts,Museum,Independent
Lytham Windmill Heritage Museum,The Windmill,Lytham Green,,,Lytham St Annes,Lancashire,FY8,England,www.fylde.gov.uk/GeneralL.aspx?id=SXD26B-A7820FC1,Charity & Trusts,Museum,Independent
Ripon Museum Trust,The Workhouse Museum,75 Allhallowgate,,,Ripon,Yorkshire,HG4 1LE,England,www.riponmuseums.co.uk,Charity & Trusts,Museum,Independent
Thorney Society,Thorney Heritage Museum,The Tankyard,Station Road,,"Thorney, Peterborough",Cambridgeshire,PE6 OQE,England,,Charity & Trusts,Museum,Independent
"Clevedon Court, National Trust",Tickenham Road,,,,Clevedon,Somerset,BS21 6QU,,http://www.nationaltrust.org.uk/main/w-clevedoncourt,Charity & Trusts,Museum,Independent
South Yorkshire Transport Museum,Tinsley Tram Sheds,Sheffield Road,Tinsley,,Sheffield,Yorkshire,S9 2FY,England,http://www.sheffieldbusmuseum.com/,Charity & Trusts,Museum,Independent
Black Country Living Museum,Tipton Road,,,,Dudley,West Midlands,DY1 4SQ,England,www.bclm.co.uk,Charity & Trusts,Museum,Independent
Wilkin & Sons Jam Museum,Tiptree,,,,Colchester,Essex,CO5 0RF,England,,Charity & Trusts,Museum,Independent
Torre Abbey,Torre Abbey,The King's Drive,,,Torquay,Devon,TQ2 5JX,England,www.torre-abbey.org.uk,Charity & Trusts,Museum,Independent
Dove Cottage & the Wordsworth Museum,Town End,,,,Grasmere,Cumbria,LA22 9SH,England,http://www.wordsworth.org.uk/,Charity & Trusts,Museum,Independent
Athelstan Museum,Town Hall,Cross Hayes,,,Malmesbury,Wiltshire,SN16 9BZ,England,www.athelstan-museum.org.uk,Charity & Trusts,Museum,Independent
Whittlesey  Museum,Town Hall,Market Street,,,Whittelsey,Cambridgeshire,PE7 1BD,England,,Charity & Trusts,Museum,Independent
Hedon Museum,Town Hall Complex,St Augustine's Gate,,,Hedon,Yorkshire,HU12 8EX,England,http://www.hedonmuseum.org/,Charity & Trusts,Museum,Independent
Dunham Massey,Trafford,,,,Manchester,Greater Manchester,WA14 4SJ,England,,Charity & Trusts,Museum,Independent
Townend,Troutbeck,,,,Windermere,Cumbria,LA23 1LB,England,,Charity & Trusts,Museum,Independent
Fitzwilliam Museum,Trumpington Street,,,,Cambridge,Cambridgeshire,CB2 1RB,England,www.fitzmuseum.cam.ac.uk,University,Museum,Independent
The Auld Post Office Museum,Turriff and District Heritage Society,24 High Street,Turriff,,Aberdeenshire,,AB53 4DS,England,http://www.turriffanddistrict.co.uk,Charity & Trusts,Museum,Independent
Museum of Rugby,Twickenham Stadium,Rugby Road,Twickenham,,Richmond upon Thames,,TW1 1DZ,England,,Charity & Trusts,Museum,Independent
Coldharbour Mill Working Wool Museum,Uffculme,,,,Cullompton,Devon,EX15 3EE,England,www.coldharbourmill.org.uk,Charity & Trusts,Museum,Independent
The Pen Room,"Unit 3, The Argent Centre",60 Frederick Street,Hockley,,Birmingham,West Midlands,B1 3HS,England,www.penroom.co.uk,Charity & Trusts,Museum,Independent
East of England Military Museum,"Unit 6, Little Heath",Barnham,,,Thetford,Suffolk,IP24 2SY,England,,Charity & Trusts,Museum,Independent
"Durham University, Durham Castle",University College,The Castle,,,Durham,Durham,DH1 3RW,England,www.dur.ac.uk,University,Museum,Independent
"University of Central London, Petrie Museum of Egyptian Archaeology",University College London,Malet Place,,,London,Greater London,WC1E 6BT,England,http://www.petrie.ucl.ac.uk/,University,Museum,Independent
Kettle's Yard,University of Cambridge,Castle Street,,,Cambridge,Cambridgeshire,CB3 0AQ,England,,University,Museum,Independent
"University of Lancaster, Peter Scott Gallery",University of Lancaster,Great Hall Complex,Bailrigg,,Lancaster,Lancashire,LA1 4YW,England,,University,Museum,Independent
Lawrence Batley Centre,University Of Leeds,Bretton Hall Campus,West Bretton,,Wakefield,Yorkshire,WF4 4LG,England,naea.leeds.ac.uk/batley.htm,Charity & Trusts,Museum,Independent
Museum of the History of Science,University of Oxford,Broad Street,,,Oxford,Oxfordshire,OX1 3AZ,England,http://www.mhs.ox.ac.uk/,University,Museum,Independent
University of Oxford Herbaria,University of Oxford,South Parks Road,,,Oxford,Oxfordshire,OX1 3RB,England,http://herbaria.plants.ox.ac.uk/,University,Museum,Independent
"University of Oxford, Christ Church Picture Gallery",University of Oxford,Christ Church,,,Oxford,Oxfordshire,OX1 1DP,England,http://www.chch.ox.ac.uk/index.php?option=com_content&task=view&id=301&Itemid=636,University,Museum,Independent
Michelham Priory,Upper Dicker,,,,Hailsham,East Sussex,BN27 3QS,England,,Charity & Trusts,Museum,Independent
